#cdEstado,nomeUF,cdMunicipio,codMunicIbge,Municipio,MesEmissao,AnoEmissao,cdPrograma,cdSubPrograma,cdFonteRecurso,Atividade,QtdCusteio,VlCusteio,QtdInvestimento,VlInvestimento,QtdComercializacao,VlComercializacao,QtdIndustrializacao,VlIndustrializacao,AreaInvestimento,AreaCusteio,cnpjIF,nomeIF
6,CE,36562,2313203.0,TAMBORIL,10,2020,1,1,502,2,1,15000.03,0,0.0,0,0.0,0,0.0,0.0,79.51,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,28783,2310308.0,PARAMBU,4,2020,1,56,502,1,3,13500.0,5,8450.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17866,2302503.0,BREJO SANTO,6,2020,1,5,502,1,0,0.0,1,14705.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,7223,2302800.0,CANINDï¿½,10,2020,1,5,502,2,0,0.0,14,99330.34,0,0.0,0,0.0,13.34,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9269,2313500.0,TRAIRI,3,2020,1,1,300,2,1,1319.47,0,0.0,0,0.0,0,0.0,0.0,7.0,0,BCO DO BRASIL S.A.
6,CE,11594,2302305.0,BELA CRUZ,3,2020,50,0,300,1,1,985905.74,0,0.0,0,0.0,0,0.0,0.0,79.5,0,BCO DO BRASIL S.A.
6,CE,51059,2303659.0,CATUNDA,1,2020,1,56,502,1,3,9400.0,0,0.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43407,2304277.0,ERERï¿½,2,2020,1,56,502,2,0,0.0,6,15300.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22693,2306306.0,ITAPAJï¿½,3,2020,1,56,502,2,1,5000.0,8,39000.0,0,0.0,0,0.0,0.0,1.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,29287,2303808.0,CEDRO,8,2020,1,1,300,2,1,8898.5,0,0.0,0,0.0,0,0.0,0.0,2.0,0,BCO DO BRASIL S.A.
6,CE,9582,2306405.0,ITAPIPOCA,7,2020,1,2,502,1,0,0.0,2,19500.0,0,0.0,0,0.0,1.06,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17581,2308609.0,MONSENHOR TABOSA,10,2020,1,56,502,2,0,0.0,7,34389.41,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,13743,2306603.0,ITATIRA,1,2020,1,56,502,2,0,0.0,39,95610.0,0,0.0,0,0.0,0.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,25360,2308302.0,MILAGRES,7,2020,1,5,502,1,0,0.0,1,14700.0,0,0.0,0,0.0,1.64,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9582,2306405.0,ITAPIPOCA,11,2020,999,0,430,1,0,0.0,1,16000.0,0,0.0,0,0.0,0.0,0.0,0,BCO DO BRASIL S.A.
6,CE,37750,2309607.0,PACAJUS,8,2020,999,0,502,2,0,0.0,6,59639.4,0,0.0,0,0.0,3.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,14106,2311306.0,QUIXADï¿½,10,2020,1,56,502,2,0,0.0,45,216500.0,0,0.0,0,0.0,24.28,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,39741,2302404.0,BOA VIAGEM,1,2020,1,56,502,2,0,0.0,86,409802.9,0,0.0,0,0.0,2.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,30214,2305605.0,INDEPENDï¿½NCIA,6,2020,1,54,502,2,0,0.0,5,13742.33,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,33101,2306900.0,JAGUARIBE,6,2020,999,0,502,2,0,0.0,10,306425.57,0,0.0,0,0.0,14.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,7223,2302800.0,CANINDï¿½,5,2020,1,1,300,2,2,108856.44,0,0.0,0,0.0,0,0.0,0.0,6.43,0,BCO DO BRASIL S.A.
6,CE,8727,2312908.0,SOBRAL,9,2020,999,0,502,2,1,107850.0,0,0.0,0,0.0,0,0.0,0.0,13.15,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,35707,2301505.0,ARNEIROZ,8,2020,1,2,502,2,0,0.0,7,39972.36,0,0.0,0,0.0,3.81,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,18425,2305001.0,GUARACIABA DO NORTE,9,2020,1,5,502,2,0,0.0,3,19590.56,0,0.0,0,0.0,1.02,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,9582,2306405.0,ITAPIPOCA,8,2020,1,54,502,2,0,0.0,5,16205.86,0,0.0,0,0.0,0.5,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,13152,2305902.0,IPUEIRAS,3,2020,1,54,502,2,0,0.0,4,24832.62,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,14852,2303204.0,CARIRIAï¿½U,2,2020,1,2,502,2,0,0.0,2,13000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,43452,2305654.0,IPAPORANGA,1,2020,1,5,502,2,0,0.0,1,14925.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,12744,2304004.0,COREAï¿½,11,2020,1,56,502,2,0,0.0,23,98000.0,0,0.0,0,0.0,4.05,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,34227,2314102.0,VIï¿½OSA DO CEARï¿½,2,2020,1,56,502,2,20,74700.0,69,251539.0,0,0.0,0,0.0,0.0,14.9,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,44877,2304269.0,DEPUTADO IRAPUAN PINHEIRO,4,2020,1,1,300,2,4,83386.57,0,0.0,0,0.0,0,0.0,0.0,274.71,0,BCO DO BRASIL S.A.
6,CE,22538,2301604.0,ASSARï¿½,5,2020,1,5,502,1,0,0.0,1,15000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,8727,2312908.0,SOBRAL,4,2020,1,56,502,1,0,0.0,9,40000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,37602,2307809.0,MARCO,11,2020,999,0,502,2,0,0.0,4,311063.94,0,0.0,0,0.0,15.74,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,11178,2312007.0,SANTANA DO ACARAï¿½,8,2020,999,0,502,2,0,0.0,8,252113.4,0,0.0,0,0.0,7.53,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,26723,2301109.0,ARACATI,9,2020,999,0,430,2,1,500000.0,0,0.0,0,0.0,0,0.0,0.0,1.41,60701190,BCO ITAU S.A.
6,CE,2723,2305506.0,IGUATU,1,2020,1,2,300,2,0,0.0,1,18360.0,0,0.0,0,0.0,0.0,0.0,0,BCO DO BRASIL S.A.
6,CE,4886,2309102.0,MULUNGU,11,2020,1,2,502,1,0,0.0,1,20000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,29036,2300200.0,ACARAï¿½,9,2020,1,1,300,1,1,19979.41,0,0.0,0,0.0,0,0.0,0.0,3.7,0,BCO DO BRASIL S.A.
6,CE,44853,2302057.0,BARROQUINHA,7,2020,999,0,502,1,1,199080.0,0,0.0,0,0.0,0,0.0,0.0,80.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,26527,2313906.0,URUOCA,8,2020,1,56,502,2,0,0.0,6,25000.0,0,0.0,0,0.0,1.8,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22181,2313807.0,URUBURETAMA,11,2020,1,2,450,1,0,0.0,1,16993.2,0,0.0,0,0.0,1.7,0.0,0,BCO DO BRASIL S.A.
6,CE,34320,2300408.0,AIUABA,2,2020,1,2,502,2,0,0.0,4,19997.3,0,0.0,0,0.0,1.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,10399,2303006.0,CARIDADE,11,2020,1,2,502,2,0,0.0,1,20000.0,0,0.0,0,0.0,0.49,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,36562,2313203.0,TAMBORIL,6,2020,1,2,502,2,0,0.0,3,25000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,22181,2313807.0,URUBURETAMA,3,2020,999,0,502,2,0,0.0,1,37500.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,16850,2300705.0,ALTO SANTO,9,2020,999,0,300,2,1,96464.08,0,0.0,0,0.0,0,0.0,0.0,63.11,0,BCO DO BRASIL S.A.
6,CE,2682,2311603.0,REDENï¿½ï¿½O,7,2020,1,56,502,1,0,0.0,10,33500.0,0,0.0,0,0.0,3.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
6,CE,17907,2301406.0,ARATUBA,3,2020,1,56,502,2,0,0.0,30,89000.0,0,0.0,0,0.0,0.0,0.0,7237373,BCO DO NORDESTE DO BRASIL S.A.
